Code,Status,AvailableFrom,Note
KOP001,Available,2026-09-01,
KOP002,Available,2026-11-01,
KOP009,Available,2026-05-06,
KOP008,Available,2026-09-01,
KOP019,Available,2026-06-01,
KOP020,Available,2026-03-01,
KOP023,Available,2026-05-01,
KOP024,Available,2026-03-01,
KOP003,Available,2026-03-01,
KOP012,Available,2026-03-01,
KOP013,Available,2026-03-01,
KOP017,Available,2026-03-01,
KOP011,Available,2026-03-01,
KOP027,Available,2026-03-01,
KOP005,Available,2026-05-01,
KOP004,Available,2026-03-01,
KOP015,Available,2026-04-01,
KOP016,Available,2027-01-01,
KOP025,Available,2026-04-01,
KOP026,Available,2026-04-01,
KOP007,Available,2026-03-01,
KOP006,Available,2026-04-01,
KOP018,Available,2026-03-01,
KOP010,Available,2026-03-01,
KOP014,Available,2026-03-01,
KOP021,Available,2026-03-01,
KOP022,Available,2026-03-01,
